year_of_arrival,flag,place_of_purchase,place_of_landing,percent_women,percent_children,percent_men,total_embarked,total_disembarked,resistance_label,vessel_name,captain's_name,voyage_id,sources
1708,Great Britain,"Africa., port unspecified","Virginia, port unspecified",,,,187,150,, ,,21381,"[u'T70/175,180<><p><em>BNA</em> (Kew), Treasury</p>']"
1708,Great Britain,Gambia,"Virginia, port unspecified",,,,89,79,,Queen Anne Gally,"Blake, John",21409,"[u'T70/5,52<><p><em>BNA</em> (Kew), Treasury</p>', u'Donnan,II,72<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Donnan,IV,17-18<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u""Davenant,V,197<>Davenant, Charles, <i>The Political and Commercial Works of that Celebrated Writer Charles D'Avenant</i>, 5 vols. (London, 1771), vol. 5."", u'T70/354,120<><p><em>BNA</em> (Kew), Treasury</p>']"
1708,Great Britain,"Africa., port unspecified",Patuxent,,,,149,119,,Alexander Gally,"Lone, William",21410,"[u'Donnan,IV,17<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Donnan,II,72<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/354,120<><p><em>BNA</em> (Kew), Treasury</p>', u'Walsh Maryland Database<>Walsh, Lorena, Database of slave trading voyages to Maryland']"
1708,France,"Africa., port unspecified",Buenos Aires,,,,28,21,,Oriflamme,"St Leger, Courbon",33508,"[u'Studer<><p>De Studer, Elena F. S., <em>Trata de Negros en el Rio de la Plata Durante el Siglo XVII</em> (Buenos Aires, 1984).</p>']"
1708,France,Whydah,Buenos Aires,,,,550,413,,Sphère,Tilly,33509,"[u'Studer<><p>De Studer, Elena F. S., <em>Trata de Negros en el Rio de la Plata Durante el Siglo XVII</em> (Buenos Aires, 1984).</p>', u'Munford,207<>Munford, Clarence J., <i>Black Ordeal of Slavery and Slave Trading in the French West Indies, 1625-1715</i>, 3 vols. (Lewiston, NY, 1991).', u'ANSOM, C8A 17,ff.126-34<><p><em>Archives Nationales, Section d&rsquo;Outre-mer</em> (Aix-en-Provence, France)</p>']"
1708,France,Cabinda,Buenos Aires,,,,476,369,,Ville de Hambourg,Grisolet,33510,"[u'Studer<><p>De Studer, Elena F. S., <em>Trata de Negros en el Rio de la Plata Durante el Siglo XVII</em> (Buenos Aires, 1984).</p>', u'Buffet,1972:253<>Buffet, Henri-Fran\xe7ois, <i>Vie et soci\xe9t\xe9; au Port-Louis des origines \xe0 Napol\xe9on III</i> (Rennes, 1972).', u'Munford,207<>Munford, Clarence J., <i>Black Ordeal of Slavery and Slave Trading in the French West Indies, 1625-1715</i>, 3 vols. (Lewiston, NY, 1991).', u'ANSOM, C8A 17,f.128<><p><em>Archives Nationales, Section d&rsquo;Outre-mer</em> (Aix-en-Provence, France)</p>']"
1708,France,Whydah,Portobelo,,,,450,265,,Coventry,,33525,"[u'Roman,27<>Roman, Alain,  <i>Saint-Malo au temps des n\xe9griers</i> (Paris, 2001).', u'ANSOM, F2A 7, 29 Oct-14 Nov 1707<><p><em>Archives Nationales, Section d&rsquo;Outre-mer</em> (Aix-en-Provence, France)</p>', u'ANSOM, C8A 17,ff.65v/66,90<><p><em>Archives Nationales, Section d&rsquo;Outre-mer</em> (Aix-en-Provence, France)</p>', u'Winfield,29<>Winfield, Rif, <i>The 50-Gun Ship</i> (London, 1997).', u'LG.09.06.06.<><i>London Gazette</i>']"
1708,France,"Africa., port unspecified",Portobelo,,,,338,242,,Mignon,,33685,[u'LG.09.06.06.<><i>London Gazette</i>']
1708,France,Whydah,Cayes (Les),,,,316,241,,Opiniatre,,33889,"[u'Hallier, 16<><p>Hallier, Val&eacute;rie, Le lancement de la traite n&eacute;gri&egrave;re &agrave; Nantes de 1688 &agrave; 1713 (M&eacute;moire de ma&icirc;trise, Universit&eacute; de Nantes, 1996)</p>']"
1708,France,Whydah,"Martinique, port unspecified",,,,316,241,,Gaillarde,"Dosset, Michel",33890,"[u'Hallier, 17<><p>Hallier, Val&eacute;rie, Le lancement de la traite n&eacute;gri&egrave;re &agrave; Nantes de 1688 &agrave; 1713 (M&eacute;moire de ma&icirc;trise, Universit&eacute; de Nantes, 1996)</p>', u'ADLA B4546<><p><em>Archives D&eacute;partementales de Loire-Atlantique,</em> Nantes, France</p>', u'ADLA B4573<><p><em>Archives D&eacute;partementales de Loire-Atlantique,</em> Nantes, France</p>', u'ADLA B4703 passports<><p><em>Archives D&eacute;partementales de Loire-Atlantique,</em> Nantes, France</p>']"
1708,Netherlands,"Africa., port unspecified",St. Thomas,0.32143,0.28571,0.39286,103,84,,Catharina,"Grassilie, Jan (a) John Grazillier",35062,"[u'Westergaard,321<>Westergaard, Waldemar, <i>The Danish West Indies Under Company Rule (1671-1754)</i> (New York, 1917).', u'Paesie,142-43,357-79<><p>Paesie, Ruud, <em>Lorrendrayen op Africa: De illegale goederen- en slavenhandel op West-Afrika tijdens het achttiende-eeuwse handelsmonopolie van de West-Indische Compagnie, 1700-1734</em> (Middelburg, 2008)<br /><br /></p>\n<div id=""mcePasteBin"" style=""position: absolute; top: 0px; left: 0; background: red; width: 1px; height: 1px; overflow: hidden"" contenteditable=""false"">\n<div contenteditable=""true"">De illegale goederen- en slavenhandel op West-Afrika tijdens het achttiende-eeuwse handelsmonopolie van de West-Indische Compagnie, 1700-1734 (Middelburg, 2008)</div>\n</div>']"
1708,Netherlands,"Africa., port unspecified",St. Thomas,0.14151,0.20283,0.65566,260,212,,Rode Leeuw (a) Røde Løwe,"Bogaart, Adriaan<br/> Freth, Hubert",35063,"[u'Westergaard,321<>Westergaard, Waldemar, <i>The Danish West Indies Under Company Rule (1671-1754)</i> (New York, 1917).', u'Paesie,357-79<><p>Paesie, Ruud, <em>Lorrendrayen op Africa: De illegale goederen- en slavenhandel op West-Afrika tijdens het achttiende-eeuwse handelsmonopolie van de West-Indische Compagnie, 1700-1734</em> (Middelburg, 2008)<br /><br /></p>\n<div id=""mcePasteBin"" style=""position: absolute; top: 0px; left: 0; background: red; width: 1px; height: 1px; overflow: hidden"" contenteditable=""false"">\n<div contenteditable=""true"">De illegale goederen- en slavenhandel op West-Afrika tijdens het achttiende-eeuwse handelsmonopolie van de West-Indische Compagnie, 1700-1734 (Middelburg, 2008)</div>\n</div>']"
1709,Great Britain,"Gold Coast, port unspecified","Barbados, port unspecified",0.34615,0.11538,0.53846,307,284,,Sherbrow,"Ashby, Thomas",9758,"[u'T70/5,50-1,54<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/8,45<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/955,6<><p><em>BNA</em> (Kew), Treasury</p>', u'CO33/15,9<><p><em>BNA</em> (Kew)</p>', u'T70/355,9<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,Cape Coast Castle,Newcastle (Nevis),0.1348,0.31034,0.55486,120,319,,Dorothy,"Gill, William",9763,"[u'T70/5,49,55<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/8,45<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/956,32-3<><p><em>BNA</em> (Kew), Treasury</p>', u'CO33/15,9<><p><em>BNA</em> (Kew)</p>', u'T70/175,180v<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,"Africa., port unspecified",Newcastle (Nevis),0.38462,0,0.61538,65,52,,Dolphin,,9765,"[u'T70/956,28<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,"Gold Coast, port unspecified",Saint John (Antigua),0.3318,0.18433,0.48387,491,435,,Regard,"Bate, Edward",9766,"[u'T70/2,13<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/5,48,51<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/956,24-7<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/8,45<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/972,f17<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/354,118,121<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Netherlands,Whydah,Suriname,,,,494,444,,Bleijswijk,"Saanen, Jan van",10055,"[u'Postma,304-401<>Postma, Johannes Menne, <i>The Dutch in the Atlantic Slave Trade, 1600-1815</i> (Cambridge, 1990).', u'Heijer,1997,389-420<>Den Heijer, Henk, <i>Goud, ivoor en slav</i><i>en. </i><i>Scheepvaart en handel van de Tweede Westindische Compagnie op Afrika, 1674-1740</i> (Zutphen, 1997).', u'HDB<>Den Heijer, Henk (University of Leiden), Dataset of slave trading voyages of the second Dutch West India Company.', u""Winter,197<>Van Winter, P. J., <i>De Westindische Compagnie ter kamer Stad en Lande</i> ('s-Gravenhage, 1978)."", u'Goslinga,610-47<>Goslinga, Cornelis Ch., <i>The Dutch in the Caribbean and the Guianas, 1680-1791 </i>(Assen, 1985).']"
1709,Netherlands,Windward Coast (Nunez - Assini),Suriname,,0.06779661,,459,400,,Catharina Christina,"Boes, Cornelis",10073,"[u'Heijer,1997,389-420<>Den Heijer, Henk, <i>Goud, ivoor en slav</i><i>en. </i><i>Scheepvaart en handel van de Tweede Westindische Compagnie op Afrika, 1674-1740</i> (Zutphen, 1997).', u'Postma,304-401<>Postma, Johannes Menne, <i>The Dutch in the Atlantic Slave Trade, 1600-1815</i> (Cambridge, 1990).', u'VanDantzig,142-3<>Van Dantzig, Albert, <i>The Dutch and the Guinea Coast, 1674-1742: A Collection of Documents from the General State Archive at the Hague</i> (Accra, 1978).              ', u'HDB<>Den Heijer, Henk (University of Leiden), Dataset of slave trading voyages of the second Dutch West India Company.']"
1709,Netherlands,Whydah,Curacao,0.35129,0.03017,0.61853,523,464,,Quinera,"Geffen, Arent van",10261,"[u'Postma,104,304-401<>Postma, Johannes Menne, <i>The Dutch in the Atlantic Slave Trade, 1600-1815</i> (Cambridge, 1990).', u'VanDantzig,141<>Van Dantzig, Albert, <i>The Dutch and the Guinea Coast, 1674-1742: A Collection of Documents from the General State Archive at the Hague</i> (Accra, 1978).              ', u'Goslinga,610-47<>Goslinga, Cornelis Ch., <i>The Dutch in the Caribbean and the Guianas, 1680-1791 </i>(Assen, 1985).', u'Heijer,1997,389-420<>Den Heijer, Henk, <i>Goud, ivoor en slav</i><i>en. </i><i>Scheepvaart en handel van de Tweede Westindische Compagnie op Afrika, 1674-1740</i> (Zutphen, 1997).', u'HDB<>Den Heijer, Henk (University of Leiden), Dataset of slave trading voyages of the second Dutch West India Company.']"
1709,Netherlands,Loango,St. Thomas,0.12087912,0.12087912,0.7582418,398,187,,Rosenburg (a) Rosenborg,"Muller, Erasmus",10270,"[u'Paesie,101,220,357-79<><p>Paesie, Ruud, <em>Lorrendrayen op Africa: De illegale goederen- en slavenhandel op West-Afrika tijdens het achttiende-eeuwse handelsmonopolie van de West-Indische Compagnie, 1700-1734</em> (Middelburg, 2008)<br /><br /></p>\n<div id=""mcePasteBin"" style=""position: absolute; top: 0px; left: 0; background: red; width: 1px; height: 1px; overflow: hidden"" contenteditable=""false"">\n<div contenteditable=""true"">De illegale goederen- en slavenhandel op West-Afrika tijdens het achttiende-eeuwse handelsmonopolie van de West-Indische Compagnie, 1700-1734 (Middelburg, 2008)</div>\n</div>', u'Westergaard,322<>Westergaard, Waldemar, <i>The Danish West Indies Under Company Rule (1671-1754)</i> (New York, 1917).', u'Postma,82,304-401<>Postma, Johannes Menne, <i>The Dutch in the Atlantic Slave Trade, 1600-1815</i> (Cambridge, 1990).']"
1709,Great Britain,"Africa., port unspecified",Kingston,,,,125,100,,Martha,"Tuder, Thos",20551,"[u'CO142/14,4<><p><em>BNA</em> (Kew)</p>']"
1709,Great Britain,Gambia,Kingston,,,,148,120,,Adventure,"Boys, Thomas",20552,"[u'Donnan,II,92<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/1199<><p><em>BNA</em> (Kew), Treasury</p>', u'CO142/14f.9v-10<><p><em>BNA</em> (Kew)</p>', u'T70/8,50<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/355,12<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,"Africa., port unspecified","Jamaica, port unspecified",,,,424,340,,Raper Gally,"Bonham, Samuel",20784,"[u'T70/1199<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/355,38<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,"West Central Africa and St. Helena, port unspecified","Jamaica, port unspecified",,,,242,220,,Elizabeth and Hannah,"Hereford, Nurse",20815,"[u'T70/1199<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/8,46<><p><em>BNA</em> (Kew), Treasury</p>', u'CO388/11<><p><em>BNA</em> (Kew)</p>', u'CO142/14,f.37<><p><em>BNA</em> (Kew)</p>', u'Donnan,II,72<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/354,106<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,"Africa., port unspecified","Jamaica, port unspecified",,,,549,440,,John and Thomas,,20816,"[u'CO388/11<><p><em>BNA</em> (Kew)</p>', u'Donnan,II,72<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>']"
1709,Great Britain,"Gold Coast, port unspecified","French Caribbean, colony unspecified",,,,315,240,,Prince of Mindelheim,"Gordon, John",20820,"[u'T70/5,54<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/1199<><p><em>BNA</em> (Kew), Treasury</p>', u""Tattersfield,221-3,361<>Tattersfield, Nigel, <i>The Forgotten Trade: Comprising the Log of the 'Daniel and Henry' of 1700 and Accounts of the Slave Trade from the Minor Ports of England, 1698-1725</i> (London, 1991)."", u'T70/356,2<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/354,124,125,126<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,Gambia,"French Caribbean, colony unspecified",,,,213,200,,Bridgewater,"Monck, Edward",20821,"[u'T70/2,15<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/5,61<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/1438<><p><em>BNA</em> (Kew), Treasury</p>', u""Tattersfield,160<>Tattersfield, Nigel, <i>The Forgotten Trade: Comprising the Log of the 'Daniel and Henry' of 1700 and Accounts of the Slave Trade from the Minor Ports of England, 1698-1725</i> (London, 1991)."", u'T70/354,137<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,Cape Coast Castle,"Barbados, port unspecified",,,,157,136,,Ann and Mary,"Harris, Tobias",20843,"[u'T70/175,181<><p><em>BNA</em> (Kew), Treasury</p>', u'CO33/15,9<><p><em>BNA</em> (Kew)</p>', u'T70/355,64<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,Cape Coast Castle,"Barbados, port unspecified",,,,163,159,,Olive Branch,"Newton, Thomas",20844,"[u'T70/5,60-3<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/175,181<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/8,53<><p><em>BNA</em> (Kew), Treasury</p>', u'CO33/15,9<><p><em>BNA</em> (Kew)</p>', u'T70/956,85-6<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/355,63<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Netherlands,Calabar,St. Thomas,,,,468,403,,Gecroonde Appel,"Grassilie, Jan (a) John Grazillier",11907,"[u'Paesie,357-79<><p>Paesie, Ruud, <em>Lorrendrayen op Africa: De illegale goederen- en slavenhandel op West-Afrika tijdens het achttiende-eeuwse handelsmonopolie van de West-Indische Compagnie, 1700-1734</em> (Middelburg, 2008)<br /><br /></p>\n<div id=""mcePasteBin"" style=""position: absolute; top: 0px; left: 0; background: red; width: 1px; height: 1px; overflow: hidden"" contenteditable=""false"">\n<div contenteditable=""true"">De illegale goederen- en slavenhandel op West-Afrika tijdens het achttiende-eeuwse handelsmonopolie van de West-Indische Compagnie, 1700-1734 (Middelburg, 2008)</div>\n</div>']"
1709,Netherlands,"West Central Africa and St. Helena, port unspecified",St. Thomas,,,,384,330,,Vliegende Hert (a) Prinz Eugen,"Vos, Jacob Centsen",11908,"[u'Paesie,252,357-79<><p>Paesie, Ruud, <em>Lorrendrayen op Africa: De illegale goederen- en slavenhandel op West-Afrika tijdens het achttiende-eeuwse handelsmonopolie van de West-Indische Compagnie, 1700-1734</em> (Middelburg, 2008)<br /><br /></p>\n<div id=""mcePasteBin"" style=""position: absolute; top: 0px; left: 0; background: red; width: 1px; height: 1px; overflow: hidden"" contenteditable=""false"">\n<div contenteditable=""true"">De illegale goederen- en slavenhandel op West-Afrika tijdens het achttiende-eeuwse handelsmonopolie van de West-Indische Compagnie, 1700-1734 (Middelburg, 2008)</div>\n</div>']"
1709,Great Britain,"Africa., port unspecified","Barbados, port unspecified",,,,166,133,,Larke Gally,,15148,"[u'Donnan,II,26<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>']"
1709,Great Britain,New Calabar,Saint John (Antigua),,,,333,253,,Dolphin (a) Kent,"Paine, Samuel",15176,"[u'Donnan,II,92<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/175,181<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/8,50<><p><em>BNA</em> (Kew), Treasury</p>', u'Donnan,IV,19,85<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/355,4<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/354,133,137<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,Gambia,"Maryland, port unspecified",,,,169,150,,Providence,"Johnson, Thomas",15177,"[u'T70/5,61<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/1199<><p><em>BNA</em> (Kew), Treasury</p>', u'Donnan,II,93<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Donnan,IV,19<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/356,1<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/355,4<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/354,133<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,"Africa., port unspecified",Kingston,,,,266,213,,Dolphin,"Veer, Thomas<br/> Clegg, Joseph",15178,"[u'T70/8,50<><p><em>BNA</em> (Kew), Treasury</p>', u'Donnan,II,92<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'CO142/14<><p><em>BNA</em> (Kew)</p>', u'T70/354,133<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,Whydah,Kingston,,,,411,350,,Joseph Gally,"Rogers, Thomas",15179,"[u'T70/5,60<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/1199<><p><em>BNA</em> (Kew), Treasury</p>', u""Tattersfield,302,429<>Tattersfield, Nigel, <i>The Forgotten Trade: Comprising the Log of the 'Daniel and Henry' of 1700 and Accounts of the Slave Trade from the Minor Ports of England, 1698-1725</i> (London, 1991)."", u'CO142/14,f.13<><p><em>BNA</em> (Kew)</p>', u'Donnan,II,92<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/356,3<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,"Africa., port unspecified",Kingston,,,,362,290,,Little London,"Plumb, Abraham",15181,"[u'Donnan,II,92<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/1199<><p><em>BNA</em> (Kew), Treasury</p>', u'CO142/14,f.13v-14<><p><em>BNA</em> (Kew)</p>', u'T70/355,12<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,Gambia,"Virginia, port unspecified",,,,259,230,,Young Margaret,"Frisby, James",15182,"[u'T70/5,61<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/1199<><p><em>BNA</em> (Kew), Treasury</p>', u'Donnan,II,93<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/355,11<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,"Africa., port unspecified",Kingston,,,,280,224,,Mermaid Gally,"Dick, Mathew",15183,"[u'T70/8,50<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/1199<><p><em>BNA</em> (Kew), Treasury</p>', u'Donnan,II,92-3<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'CO142/14,f.13<><p><em>BNA</em> (Kew)</p>', u'T70/356,5<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/355,12<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,"Africa., port unspecified","Jamaica, port unspecified",,,,437,350,,Amey Gally,"Prince, Lawrence",15184,"[u'Donnan,II,93<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/355,12<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,Mayumba,"French Caribbean, colony unspecified",,,,161,130,,George and Martha,"Foot, Samuel",15187,"[u'T70/1199<><p><em>BNA</em> (Kew), Treasury</p>', u'Donnan,II,93<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'T70/355,13<><p><em>BNA</em> (Kew), Treasury</p>', u'HCA15/30, Bundle G, Charter Party<><p><em>BNA</em> (Kew)</p>']"
1709,Great Britain,Malembo,Kingston,,,,308,280,,Joseph Gally,"Mullington, Robert",16039,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'T70/8,50<><p><em>BNA</em> (Kew), Treasury</p>', u'CO142/14,f.13<><p><em>BNA</em> (Kew)</p>', u'Donnan,II,92-93<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u""Tattersfield,302,429<>Tattersfield, Nigel, <i>The Forgotten Trade: Comprising the Log of the 'Daniel and Henry' of 1700 and Accounts of the Slave Trade from the Minor Ports of England, 1698-1725</i> (London, 1991)."", u'T70/355,8<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/354,121<><p><em>BNA</em> (Kew), Treasury</p>', u'Morice,2,Prince,1709.09.07<>Morice, Humphry, <i>Slave Trade Journals and Papers (microform). Part 1: the Humphry Morice Papers</i>, 4 reels (Marlborough, 2000).']"
1709,Great Britain,"Africa., port unspecified","Spanish Circum-Caribbean,unspecified",,,,175,156,,Kent,"Powell, Daniel",16040,"[u'T70/8,44<><p><em>BNA</em> (Kew), Treasury</p>', u'Donnan,II,73<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'T70/354,126<><p><em>BNA</em> (Kew), Treasury</p>', u'CO142/14,7<><p><em>BNA</em> (Kew)</p>']"
1709,Great Britain,"Africa., port unspecified","French Caribbean, colony unspecified",,,,315,240,,Stonedge Gally,"King, Samuel",16041,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'T70/355,7<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,"Africa., port unspecified","French Caribbean, colony unspecified",,,,236,180,,William,"Collingwood, John",16043,"[u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'T70/354,126<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,"Gold Coast, port unspecified",Port Royal,,,,220,190,,Dover Gally,"Rudge, James<br/> Coates, Thomas",16047,"[u'T70/5,57<><p><em>BNA</em> (Kew), Treasury</p>', u'Richardson,I<><p>Richardson, David, <em>Bristol</em><em>, Africa and the Eighteenth Century Slave Trade to America</em>: Volume 1, <em>The Years of Expansion, 1698-1729</em> (Bristol, 1986); Volume 2, <em>The Years of Ascendancy, 1730-1745</em> (Bristol, 1987); Volume 3, <em>The Years of Decline, 1746-1769</em> (Bristol, 1991); Volume 4, <em>The Final Years, 1770-1807</em> (Bristol, 1997)</p>', u'T70/355,13<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,Cape Coast Castle,Saint John (Antigua),0.26761,0.06338,0.66901,163,145,,Amiable Sloop,"Jarrett, Allan",20918,"[u'T70/5,56-9,70<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/8,42-3,50<><p><em>BNA</em> (Kew), Treasury</p>', u'T70/956,71-2<><p><em>BNA</em> (Kew), Treasury</p>']"
1709,Great Britain,"Africa., port unspecified","Barbados, port unspecified",,,,120,96,,Content,"Patrick, Stephen",21387,"[u'Donnan,II,32<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>']"
